L1,L2-3,L4,L5,L6,genes
0.014371,0.015122,0.014083,0.013741,0.012613,mt-Co1
0.00049531,0.00068183,0.00053258,0.00045196,0.00055923,Dkk3
4.3644e-06,4.2981e-06,6.5938e-06,4.2193e-06,5.6219e-06,Gm7204
5.3782e-05,6.7401e-05,6.3314e-05,6.5361e-05,6.2408e-05,Btf3
9.3905e-05,0.00012315,5.7153e-05,8.4919e-05,8.4027e-05,Cwc15
0.00012355,0.00016738,8.1426e-05,0.00010316,0.00010798,Pls3
0.00012402,0.00019394,8.2771e-05,0.00020712,0.0002074,Nop56
3.6655e-05,2.2505e-05,5.4787e-05,4.9269e-05,6.6159e-05,Cxxc5
5.291e-05,7.6419e-05,7.4579e-05,4.9784e-05,6.1632e-05,Clasrp
5.5124e-05,8.9536e-05,0.00020221,7.9675e-05,7.8171e-05,Btrc
3.1169e-05,3.4792e-05,5.6731e-05,4.6723e-05,3.1137e-05,Rap2b
0.00030443,0.00039256,0.0004915,0.00043752,0.00030233,Cdc42ep4
8.0072e-05,4.7285e-05,4.7197e-05,9.0692e-05,9.0435e-05,Kctd6
0.00018409,0.00016974,0.00032052,0.00017351,0.00022112,Zwint
0.00086746,0.00099007,0.0011966,0.0011694,0.00091589,Pmm1
2.1453e-07,2.6018e-07,3.2626e-07,2.5639e-07,2.1288e-07,Gm29668
0.00013048,0.00012109,0.00011625,0.00014844,0.00017422,Nhsl1
3.2046e-05,2.8385e-05,3.5964e-05,3.3011e-05,3.7659e-05,Gstm2-ps1
4.3886e-06,4.5884e-06,5.7223e-06,6.0221e-06,5.9701e-06,Rab11b-ps2
6.4598e-05,0.00010165,0.00010327,6.9977e-05,7.7186e-05,Ptpn9
9.5516e-05,0.00011548,0.00013196,5.7823e-05,0.00011536,Ptpra
0.00020388,0.00019826,0.0003388,0.00017017,0.00021225,Rftn2
0.00010009,0.00010907,6.805e-05,0.0001055,0.00010913,Vcl
2.1271e-05,3.6386e-05,2.9992e-05,1.4315e-05,2.4737e-05,Irf2
